winner,moves,time,p1_walls_left,p2_walls_left
2,14,17.6028,10,10
2,14,17.2675,10,10
2,14,16.2346,10,10
2,14,16.4655,10,10
2,14,17.2347,10,10
2,14,16.9611,10,10
2,14,16.7397,10,10
2,14,16.4074,10,10
2,14,16.845,10,10
2,14,16.9492,10,10
2,14,16.888,10,10
2,14,16.1002,10,10
2,14,16.2851,10,10
2,14,15.1596,10,10
2,14,14.8708,10,10
2,14,15.079,10,10
2,14,14.8839,10,10
2,14,14.7333,10,10
2,14,15.2264,10,10
2,14,15.6897,10,10
2,14,16.0345,10,10
2,14,15.3784,10,10
2,14,16.2783,10,10
2,14,15.7077,10,10
2,14,14.4543,10,10
2,14,14.9447,10,10
2,14,14.3561,10,10
2,14,17.5829,10,10
2,14,15.2459,10,10
2,14,14.6511,10,10
2,14,15.9215,10,10
2,14,16.028,10,10
2,14,15.1133,10,10
2,14,15.4235,10,10
2,14,16.4393,10,10
2,14,15.7655,10,10
2,14,15.7559,10,10
2,14,17.4197,10,10
2,14,17.0912,10,10
2,14,16.5482,10,10
2,14,17.8255,10,10
2,14,16.802,10,10
2,14,17.6396,10,10
2,14,16.5554,10,10
2,14,17.4086,10,10
2,14,16.3443,10,10
2,14,16.4298,10,10
2,14,17.1199,10,10
2,14,16.8201,10,10
2,14,16.788,10,10
